카테고리,단어,뜻,예문,해석,학습 상태
기초 필수 영단어,sing,[동사] 노래하다,Learners practice how to sing in English.,학습자는 영어로 노래하다 방법을 연습한다.,미학습
기초 필수 영단어,dance,[동사] 춤추다,Learners practice how to dance in English.,학습자는 영어로 춤추다 방법을 연습한다.,미학습
기초 필수 영단어,cry,[동사] 울다,Learners practice how to cry in English.,학습자는 영어로 울다 방법을 연습한다.,미학습
기초 필수 영단어,rest,[동사] 쉬다,Learners practice how to rest in English.,학습자는 영어로 쉬다 방법을 연습한다.,미학습
기초 필수 영단어,small,[형용사] 작은,The situation is small.,그 상황은 작은 상태이다.,미학습
기초 필수 영단어,large,[형용사] 큰,The situation is large.,그 상황은 큰 상태이다.,미학습
기초 필수 영단어,young,[형용사] 어린,The situation is young.,그 상황은 어린 상태이다.,미학습
기초 필수 영단어,old,[형용사] 나이든,The situation is old.,그 상황은 나이든 상태이다.,미학습
기초 필수 영단어,late,[형용사] 늦은,The situation is late.,그 상황은 늦은 상태이다.,미학습
기초 필수 영단어,bad,[형용사] 나쁜,The situation is bad.,그 상황은 나쁜 상태이다.,미학습
기초 필수 영단어,wrong,[형용사] 틀린,The situation is wrong.,그 상황은 틀린 상태이다.,미학습
기초 필수 영단어,dark,[형용사] 어두운,The situation is dark.,그 상황은 어두운 상태이다.,미학습
기초 필수 영단어,hot,[형용사] 뜨거운,The situation is hot.,그 상황은 뜨거운 상태이다.,미학습
기초 필수 영단어,cold,[형용사] 차가운,The situation is cold.,그 상황은 차가운 상태이다.,미학습
기초 필수 영단어,warm,[형용사] 따뜻한,The situation is warm.,그 상황은 따뜻한 상태이다.,미학습
기초 필수 영단어,cool,[형용사] 시원한,The situation is cool.,그 상황은 시원한 상태이다.,미학습
기초 필수 영단어,fast,[형용사] 빠른,The situation is fast.,그 상황은 빠른 상태이다.,미학습
기초 필수 영단어,slow,[형용사] 느린,The situation is slow.,그 상황은 느린 상태이다.,미학습
기초 필수 영단어,high,[형용사] 높은,The situation is high.,그 상황은 높은 상태이다.,미학습
기초 필수 영단어,low,[형용사] 낮은,The situation is low.,그 상황은 낮은 상태이다.,미학습
기초 필수 영단어,short,[형용사] 짧은,The situation is short.,그 상황은 짧은 상태이다.,미학습
기초 필수 영단어,long,[형용사] 긴,The situation is long.,그 상황은 긴 상태이다.,미학습
기초 필수 영단어,strong,[형용사] 강한,The situation is strong.,그 상황은 강한 상태이다.,미학습
기초 필수 영단어,weak,[형용사] 약한,The situation is weak.,그 상황은 약한 상태이다.,미학습
기초 필수 영단어,dirty,[형용사] 더러운,The situation is dirty.,그 상황은 더러운 상태이다.,미학습
기초 필수 영단어,safe,[형용사] 안전한,The situation is safe.,그 상황은 안전한 상태이다.,미학습
기초 필수 영단어,dangerous,[형용사] 위험한,The situation is dangerous.,그 상황은 위험한 상태이다.,미학습
기초 필수 영단어,sick,[형용사] 아픈,The situation is sick.,그 상황은 아픈 상태이다.,미학습
기초 필수 영단어,happy,[형용사] 행복한,The situation is happy.,그 상황은 행복한 상태이다.,미학습
기초 필수 영단어,sad,[형용사] 슬픈,The situation is sad.,그 상황은 슬픈 상태이다.,미학습
기초 필수 영단어,angry,[형용사] 화난,The situation is angry.,그 상황은 화난 상태이다.,미학습
기초 필수 영단어,afraid,[형용사] 두려운,The situation is afraid.,그 상황은 두려운 상태이다.,미학습
기초 필수 영단어,busy,[형용사] 바쁜,The situation is busy.,그 상황은 바쁜 상태이다.,미학습
기초 필수 영단어,free,[형용사] 자유로운,The situation is free.,그 상황은 자유로운 상태이다.,미학습
기초 필수 영단어,able,[형용사] 할 수 있는,The situation is able.,그 상황은 할 수 있는 상태이다.,미학습
기초 필수 영단어,polite,[형용사] 공손한,The situation is polite.,그 상황은 공손한 상태이다.,미학습
기초 필수 영단어,quiet,[형용사] 조용한,The situation is quiet.,그 상황은 조용한 상태이다.,미학습
기초 필수 영단어,loud,[형용사] 시끄러운,The situation is loud.,그 상황은 시끄러운 상태이다.,미학습
기초 필수 영단어,rich,[형용사] 부유한,The situation is rich.,그 상황은 부유한 상태이다.,미학습
기초 필수 영단어,poor,[형용사] 가난한,The situation is poor.,그 상황은 가난한 상태이다.,미학습
기초 필수 영단어,empty,[형용사] 빈,The situation is empty.,그 상황은 빈 상태이다.,미학습
기초 필수 영단어,heavy,[형용사] 무거운,The situation is heavy.,그 상황은 무거운 상태이다.,미학습
기초 필수 영단어,beautiful,[형용사] 아름다운,The situation is beautiful.,그 상황은 아름다운 상태이다.,미학습
기초 필수 영단어,ugly,[형용사] 못생긴,The situation is ugly.,그 상황은 못생긴 상태이다.,미학습
기초 필수 영단어,important,[형용사] 중요한,The situation is important.,그 상황은 중요한 상태이다.,미학습
기초 필수 영단어,useful,[형용사] 유용한,The situation is useful.,그 상황은 유용한 상태이다.,미학습
기초 필수 영단어,special,[형용사] 특별한,The situation is special.,그 상황은 특별한 상태이다.,미학습
기초 필수 영단어,common,[형용사] 흔한,The situation is common.,그 상황은 흔한 상태이다.,미학습
기초 필수 영단어,private,[형용사] 사적인,The situation is private.,그 상황은 사적인 상태이다.,미학습
기초 필수 영단어,local,[형용사] 지역의,The situation is local.,그 상황은 지역의 상태이다.,미학습
기초 필수 영단어,global,[형용사] 세계적인,The situation is global.,그 상황은 세계적인 상태이다.,미학습
기초 필수 영단어,basic,[형용사] 기본적인,The situation is basic.,그 상황은 기본적인 상태이다.,미학습
기초 필수 영단어,advanced,[형용사] 고급의,The situation is advanced.,그 상황은 고급의 상태이다.,미학습
기초 필수 영단어,natural,[형용사] 자연의,The situation is natural.,그 상황은 자연의 상태이다.,미학습
기초 필수 영단어,modern,[형용사] 현대의,The situation is modern.,그 상황은 현대의 상태이다.,미학습
기초 필수 영단어,quick,[형용사] 빠른,The situation is quick.,그 상황은 빠른 상태이다.,미학습
기초 필수 영단어,careful,[형용사] 주의 깊은,The situation is careful.,그 상황은 주의 깊은 상태이다.,미학습
기초 필수 영단어,possible,[형용사] 가능한,The situation is possible.,그 상황은 가능한 상태이다.,미학습
기초 필수 영단어,main,[형용사] 주요한,The situation is main.,그 상황은 주요한 상태이다.,미학습
기초 필수 영단어,final,[형용사] 최종의,The situation is final.,그 상황은 최종의 상태이다.,미학습
기초 필수 영단어,weekly,[형용사] 매주의,The situation is weekly.,그 상황은 매주의 상태이다.,미학습
기초 필수 영단어,monthly,[형용사] 매월의,The situation is monthly.,그 상황은 매월의 상태이다.,미학습
기초 필수 영단어,accurate,[형용사] 정확한,The situation is accurate.,그 상황은 정확한 상태이다.,미학습
기초 필수 영단어,active,[형용사] 활동적인,The situation is active.,그 상황은 활동적인 상태이다.,미학습
기초 필수 영단어,calm,[형용사] 차분한,The situation is calm.,그 상황은 차분한 상태이다.,미학습
기초 필수 영단어,eager,[형용사] 열망하는,The situation is eager.,그 상황은 열망하는 상태이다.,미학습
기초 필수 영단어,creative,[형용사] 창의적인,The situation is creative.,그 상황은 창의적인 상태이다.,미학습
기초 필수 영단어,usually,[부사] 보통,She worked usually today.,그녀는 오늘 보통 일했다.,미학습
기초 필수 영단어,never,[부사] 결코,She worked never today.,그녀는 오늘 결코 일했다.,미학습
기초 필수 영단어,sometimes,[부사] 가끔,She worked sometimes today.,그녀는 오늘 가끔 일했다.,미학습
기초 필수 영단어,quickly,[부사] 빨리,She worked quickly today.,그녀는 오늘 빨리 일했다.,미학습
기초 필수 영단어,slowly,[부사] 천천히,She worked slowly today.,그녀는 오늘 천천히 일했다.,미학습
기초 필수 영단어,carefully,[부사] 조심스럽게,She worked carefully today.,그녀는 오늘 조심스럽게 일했다.,학습 중
기초 필수 영단어,clearly,[부사] 명확하게,She worked clearly today.,그녀는 오늘 명확하게 일했다.,미학습
기초 필수 영단어,easily,[부사] 쉽게,She worked easily today.,그녀는 오늘 쉽게 일했다.,미학습
중급 필수 영단어,apple,[명사] 사과,We talked about apple during the lesson.,우리는 수업 중 사과에 대해 이야기했다.,미학습
중급 필수 영단어,banana,[명사] 바나나,We talked about banana during the lesson.,우리는 수업 중 바나나에 대해 이야기했다.,미학습
중급 필수 영단어,orange,[명사] 오렌지,We talked about orange during the lesson.,우리는 수업 중 오렌지에 대해 이야기했다.,미학습
중급 필수 영단어,grape,[명사] 포도,We talked about grape during the lesson.,우리는 수업 중 포도에 대해 이야기했다.,미학습
중급 필수 영단어,lemon,[명사] 레몬,We talked about lemon during the lesson.,우리는 수업 중 레몬에 대해 이야기했다.,미학습
중급 필수 영단어,peach,[명사] 복숭아,We talked about peach during the lesson.,우리는 수업 중 복숭아에 대해 이야기했다.,미학습
중급 필수 영단어,pear,[명사] 배,We talked about pear during the lesson.,우리는 수업 중 배에 대해 이야기했다.,미학습
중급 필수 영단어,melon,[명사] 멜론,We talked about melon during the lesson.,우리는 수업 중 멜론에 대해 이야기했다.,미학습
중급 필수 영단어,berry,[명사] 베리,We talked about berry during the lesson.,우리는 수업 중 베리에 대해 이야기했다.,미학습
중급 필수 영단어,mango,[명사] 망고,We talked about mango during the lesson.,우리는 수업 중 망고에 대해 이야기했다.,미학습
중급 필수 영단어,bread,[명사] 빵,We talked about bread during the lesson.,우리는 수업 중 빵에 대해 이야기했다.,미학습
중급 필수 영단어,rice,[명사] 쌀밥,We talked about rice during the lesson.,우리는 수업 중 쌀밥에 대해 이야기했다.,미학습
중급 필수 영단어,water,[명사] 물,We talked about water during the lesson.,우리는 수업 중 물에 대해 이야기했다.,미학습
중급 필수 영단어,milk,[명사] 우유,We talked about milk during the lesson.,우리는 수업 중 우유에 대해 이야기했다.,미학습
중급 필수 영단어,juice,[명사] 주스,We talked about juice during the lesson.,우리는 수업 중 주스에 대해 이야기했다.,미학습
중급 필수 영단어,coffee,[명사] 커피,We talked about coffee during the lesson.,우리는 수업 중 커피에 대해 이야기했다.,미학습
중급 필수 영단어,tea,[명사] 차,We talked about tea during the lesson.,우리는 수업 중 차에 대해 이야기했다.,미학습
중급 필수 영단어,salt,[명사] 소금,We talked about salt during the lesson.,우리는 수업 중 소금에 대해 이야기했다.,미학습
중급 필수 영단어,sugar,[명사] 설탕,We talked about sugar during the lesson.,우리는 수업 중 설탕에 대해 이야기했다.,미학습
중급 필수 영단어,honey,[명사] 꿀,We talked about honey during the lesson.,우리는 수업 중 꿀에 대해 이야기했다.,미학습
중급 필수 영단어,egg,[명사] 달걀,We talked about egg during the lesson.,우리는 수업 중 달걀에 대해 이야기했다.,미학습
중급 필수 영단어,meat,[명사] 고기,We talked about meat during the lesson.,우리는 수업 중 고기에 대해 이야기했다.,미학습
중급 필수 영단어,fish,[명사] 생선,We talked about fish during the lesson.,우리는 수업 중 생선에 대해 이야기했다.,미학습
중급 필수 영단어,cheese,[명사] 치즈,We talked about cheese during the lesson.,우리는 수업 중 치즈에 대해 이야기했다.,미학습
중급 필수 영단어,soup,[명사] 수프,We talked about soup during the lesson.,우리는 수업 중 수프에 대해 이야기했다.,미학습
중급 필수 영단어,salad,[명사] 샐러드,We talked about salad during the lesson.,우리는 수업 중 샐러드에 대해 이야기했다.,미학습
중급 필수 영단어,meal,[명사] 식사,We talked about meal during the lesson.,우리는 수업 중 식사에 대해 이야기했다.,미학습
중급 필수 영단어,breakfast,[명사] 아침식사,We talked about breakfast during the lesson.,우리는 수업 중 아침식사에 대해 이야기했다.,미학습
중급 필수 영단어,lunch,[명사] 점심식사,We talked about lunch during the lesson.,우리는 수업 중 점심식사에 대해 이야기했다.,미학습
중급 필수 영단어,dinner,[명사] 저녁식사,We talked about dinner during the lesson.,우리는 수업 중 저녁식사에 대해 이야기했다.,미학습
중급 필수 영단어,family,[명사] 가족,We talked about family during the lesson.,우리는 수업 중 가족에 대해 이야기했다.,미학습
중급 필수 영단어,parent,[명사] 부모,We talked about parent during the lesson.,우리는 수업 중 부모에 대해 이야기했다.,미학습
중급 필수 영단어,child,[명사] 아이,We talked about child during the lesson.,우리는 수업 중 아이에 대해 이야기했다.,미학습
중급 필수 영단어,friend,[명사] 친구,We talked about friend during the lesson.,우리는 수업 중 친구에 대해 이야기했다.,미학습
중급 필수 영단어,teacher,[명사] 교사,We talked about teacher during the lesson.,우리는 수업 중 교사에 대해 이야기했다.,미학습
중급 필수 영단어,student,[명사] 학생,We talked about student during the lesson.,우리는 수업 중 학생에 대해 이야기했다.,미학습
중급 필수 영단어,school,[명사] 학교,We talked about school during the lesson.,우리는 수업 중 학교에 대해 이야기했다.,미학습
중급 필수 영단어,class,[명사] 수업,We talked about class during the lesson.,우리는 수업 중 수업에 대해 이야기했다.,미학습
중급 필수 영단어,lesson,[명사] 과목,We talked about lesson during the lesson.,우리는 수업 중 과목에 대해 이야기했다.,미학습
중급 필수 영단어,book,[명사] 책,We talked about book during the lesson.,우리는 수업 중 책에 대해 이야기했다.,미학습
중급 필수 영단어,page,[명사] 쪽,We talked about page during the lesson.,우리는 수업 중 쪽에 대해 이야기했다.,미학습
중급 필수 영단어,paper,[명사] 종이,We talked about paper during the lesson.,우리는 수업 중 종이에 대해 이야기했다.,미학습
중급 필수 영단어,pen,[명사] 펜,We talked about pen during the lesson.,우리는 수업 중 펜에 대해 이야기했다.,미학습
중급 필수 영단어,pencil,[명사] 연필,We talked about pencil during the lesson.,우리는 수업 중 연필에 대해 이야기했다.,미학습
중급 필수 영단어,desk,[명사] 책상,We talked about desk during the lesson.,우리는 수업 중 책상에 대해 이야기했다.,미학습
중급 필수 영단어,chair,[명사] 의자,We talked about chair during the lesson.,우리는 수업 중 의자에 대해 이야기했다.,미학습
중급 필수 영단어,table,[명사] 탁자,We talked about table during the lesson.,우리는 수업 중 탁자에 대해 이야기했다.,미학습
중급 필수 영단어,door,[명사] 문,We talked about door during the lesson.,우리는 수업 중 문에 대해 이야기했다.,미학습
중급 필수 영단어,window,[명사] 창문,We talked about window during the lesson.,우리는 수업 중 창문에 대해 이야기했다.,미학습
중급 필수 영단어,room,[명사] 방,We talked about room during the lesson.,우리는 수업 중 방에 대해 이야기했다.,미학습
중급 필수 영단어,house,[명사] 집,We talked about house during the lesson.,우리는 수업 중 집에 대해 이야기했다.,미학습
중급 필수 영단어,home,[명사] 가정,We talked about home during the lesson.,우리는 수업 중 가정에 대해 이야기했다.,미학습
중급 필수 영단어,kitchen,[명사] 부엌,We talked about kitchen during the lesson.,우리는 수업 중 부엌에 대해 이야기했다.,미학습
중급 필수 영단어,bathroom,[명사] 욕실,We talked about bathroom during the lesson.,우리는 수업 중 욕실에 대해 이야기했다.,미학습
중급 필수 영단어,bedroom,[명사] 침실,We talked about bedroom during the lesson.,우리는 수업 중 침실에 대해 이야기했다.,미학습
중급 필수 영단어,garden,[명사] 정원,We talked about garden during the lesson.,우리는 수업 중 정원에 대해 이야기했다.,미학습
중급 필수 영단어,street,[명사] 거리,We talked about street during the lesson.,우리는 수업 중 거리에 대해 이야기했다.,미학습
중급 필수 영단어,road,[명사] 도로,We talked about road during the lesson.,우리는 수업 중 도로에 대해 이야기했다.,미학습
중급 필수 영단어,city,[명사] 도시,We talked about city during the lesson.,우리는 수업 중 도시에 대해 이야기했다.,미학습
중급 필수 영단어,town,[명사] 마을,We talked about town during the lesson.,우리는 수업 중 마을에 대해 이야기했다.,미학습
중급 필수 영단어,village,[명사] 촌락,We talked about village during the lesson.,우리는 수업 중 촌락에 대해 이야기했다.,미학습
중급 필수 영단어,country,[명사] 나라,We talked about country during the lesson.,우리는 수업 중 나라에 대해 이야기했다.,미학습
중급 필수 영단어,world,[명사] 세계,We talked about world during the lesson.,우리는 수업 중 세계에 대해 이야기했다.,미학습
중급 필수 영단어,earth,[명사] 지구,We talked about earth during the lesson.,우리는 수업 중 지구에 대해 이야기했다.,미학습
중급 필수 영단어,sky,[명사] 하늘,We talked about sky during the lesson.,우리는 수업 중 하늘에 대해 이야기했다.,미학습
중급 필수 영단어,sun,[명사] 태양,We talked about sun during the lesson.,우리는 수업 중 태양에 대해 이야기했다.,미학습
중급 필수 영단어,moon,[명사] 달,We talked about moon during the lesson.,우리는 수업 중 달에 대해 이야기했다.,미학습
중급 필수 영단어,star,[명사] 별,We talked about star during the lesson.,우리는 수업 중 별에 대해 이야기했다.,미학습
중급 필수 영단어,cloud,[명사] 구름,We talked about cloud during the lesson.,우리는 수업 중 구름에 대해 이야기했다.,미학습
중급 필수 영단어,rain,[명사] 비,We talked about rain during the lesson.,우리는 수업 중 비에 대해 이야기했다.,미학습
중급 필수 영단어,snow,[명사] 눈,We talked about snow during the lesson.,우리는 수업 중 눈에 대해 이야기했다.,미학습
중급 필수 영단어,wind,[명사] 바람,We talked about wind during the lesson.,우리는 수업 중 바람에 대해 이야기했다.,미학습
중급 필수 영단어,fire,[명사] 불,We talked about fire during the lesson.,우리는 수업 중 불에 대해 이야기했다.,미학습
중급 필수 영단어,tree,[명사] 나무,We talked about tree during the lesson.,우리는 수업 중 나무에 대해 이야기했다.,미학습
중급 필수 영단어,flower,[명사] 꽃,We talked about flower during the lesson.,우리는 수업 중 꽃에 대해 이야기했다.,미학습
중급 필수 영단어,grass,[명사] 풀,We talked about grass during the lesson.,우리는 수업 중 풀에 대해 이야기했다.,미학습
중급 필수 영단어,river,[명사] 강,We talked about river during the lesson.,우리는 수업 중 강에 대해 이야기했다.,미학습
중급 필수 영단어,lake,[명사] 호수,We talked about lake during the lesson.,우리는 수업 중 호수에 대해 이야기했다.,미학습
중급 필수 영단어,sea,[명사] 바다,We talked about sea during the lesson.,우리는 수업 중 바다에 대해 이야기했다.,미학습
중급 필수 영단어,mountain,[명사] 산,We talked about mountain during the lesson.,우리는 수업 중 산에 대해 이야기했다.,미학습
중급 필수 영단어,forest,[명사] 숲,We talked about forest during the lesson.,우리는 수업 중 숲에 대해 이야기했다.,미학습
중급 필수 영단어,field,[명사] 들판,We talked about field during the lesson.,우리는 수업 중 들판에 대해 이야기했다.,미학습
중급 필수 영단어,animal,[명사] 동물,We talked about animal during the lesson.,우리는 수업 중 동물에 대해 이야기했다.,미학습
중급 필수 영단어,bird,[명사] 새,We talked about bird during the lesson.,우리는 수업 중 새에 대해 이야기했다.,미학습
중급 필수 영단어,cat,[명사] 고양이,We talked about cat during the lesson.,우리는 수업 중 고양이에 대해 이야기했다.,미학습
중급 필수 영단어,dog,[명사] 개,We talked about dog during the lesson.,우리는 수업 중 개에 대해 이야기했다.,미학습
중급 필수 영단어,horse,[명사] 말,We talked about horse during the lesson.,우리는 수업 중 말에 대해 이야기했다.,미학습
중급 필수 영단어,cow,[명사] 소,We talked about cow during the lesson.,우리는 수업 중 소에 대해 이야기했다.,미학습
중급 필수 영단어,sheep,[명사] 양,We talked about sheep during the lesson.,우리는 수업 중 양에 대해 이야기했다.,미학습
중급 필수 영단어,rabbit,[명사] 토끼,We talked about rabbit during the lesson.,우리는 수업 중 토끼에 대해 이야기했다.,미학습
중급 필수 영단어,mouse,[명사] 쥐,We talked about mouse during the lesson.,우리는 수업 중 쥐에 대해 이야기했다.,미학습
중급 필수 영단어,bear,[명사] 곰,We talked about bear during the lesson.,우리는 수업 중 곰에 대해 이야기했다.,미학습
중급 필수 영단어,lion,[명사] 사자,We talked about lion during the lesson.,우리는 수업 중 사자에 대해 이야기했다.,미학습
중급 필수 영단어,tiger,[명사] 호랑이,We talked about tiger during the lesson.,우리는 수업 중 호랑이에 대해 이야기했다.,미학습
중급 필수 영단어,elephant,[명사] 코끼리,We talked about elephant during the lesson.,우리는 수업 중 코끼리에 대해 이야기했다.,미학습
중급 필수 영단어,monkey,[명사] 원숭이,We talked about monkey during the lesson.,우리는 수업 중 원숭이에 대해 이야기했다.,미학습
중급 필수 영단어,body,[명사] 몸,We talked about body during the lesson.,우리는 수업 중 몸에 대해 이야기했다.,미학습
중급 필수 영단어,head,[명사] 머리,We talked about head during the lesson.,우리는 수업 중 머리에 대해 이야기했다.,미학습
중급 필수 영단어,face,[명사] 얼굴,We talked about face during the lesson.,우리는 수업 중 얼굴에 대해 이야기했다.,미학습
중급 필수 영단어,eye,[명사] 눈,We talked about eye during the lesson.,우리는 수업 중 눈에 대해 이야기했다.,미학습
중급 필수 영단어,ear,[명사] 귀,We talked about ear during the lesson.,우리는 수업 중 귀에 대해 이야기했다.,미학습
중급 필수 영단어,nose,[명사] 코,We talked about nose during the lesson.,우리는 수업 중 코에 대해 이야기했다.,미학습
중급 필수 영단어,mouth,[명사] 입,We talked about mouth during the lesson.,우리는 수업 중 입에 대해 이야기했다.,미학습
중급 필수 영단어,tooth,[명사] 이,We talked about tooth during the lesson.,우리는 수업 중 이에 대해 이야기했다.,미학습
중급 필수 영단어,hand,[명사] 손,We talked about hand during the lesson.,우리는 수업 중 손에 대해 이야기했다.,미학습
중급 필수 영단어,arm,[명사] 팔,We talked about arm during the lesson.,우리는 수업 중 팔에 대해 이야기했다.,미학습
중급 필수 영단어,leg,[명사] 다리,We talked about leg during the lesson.,우리는 수업 중 다리에 대해 이야기했다.,미학습
중급 필수 영단어,foot,[명사] 발,We talked about foot during the lesson.,우리는 수업 중 발에 대해 이야기했다.,미학습
중급 필수 영단어,heart,[명사] 심장,We talked about heart during the lesson.,우리는 수업 중 심장에 대해 이야기했다.,미학습
중급 필수 영단어,mind,[명사] 마음,We talked about mind during the lesson.,우리는 수업 중 마음에 대해 이야기했다.,미학습
중급 필수 영단어,name,[명사] 이름,We talked about name during the lesson.,우리는 수업 중 이름에 대해 이야기했다.,미학습
중급 필수 영단어,number,[명사] 숫자,We talked about number during the lesson.,우리는 수업 중 숫자에 대해 이야기했다.,미학습
중급 필수 영단어,color,[명사] 색,We talked about color during the lesson.,우리는 수업 중 색에 대해 이야기했다.,미학습
중급 필수 영단어,sound,[명사] 소리,We talked about sound during the lesson.,우리는 수업 중 소리에 대해 이야기했다.,미학습
중급 필수 영단어,voice,[명사] 목소리,We talked about voice during the lesson.,우리는 수업 중 목소리에 대해 이야기했다.,미학습
중급 필수 영단어,music,[명사] 음악,We talked about music during the lesson.,우리는 수업 중 음악에 대해 이야기했다.,미학습
중급 필수 영단어,song,[명사] 노래,We talked about song during the lesson.,우리는 수업 중 노래에 대해 이야기했다.,미학습
중급 필수 영단어,picture,[명사] 그림,We talked about picture during the lesson.,우리는 수업 중 그림에 대해 이야기했다.,미학습
중급 필수 영단어,photo,[명사] 사진,We talked about photo during the lesson.,우리는 수업 중 사진에 대해 이야기했다.,미학습
중급 필수 영단어,movie,[명사] 영화,We talked about movie during the lesson.,우리는 수업 중 영화에 대해 이야기했다.,미학습
중급 필수 영단어,game,[명사] 게임,We talked about game during the lesson.,우리는 수업 중 게임에 대해 이야기했다.,미학습
중급 필수 영단어,sport,[명사] 운동경기,We talked about sport during the lesson.,우리는 수업 중 운동경기에 대해 이야기했다.,미학습
중급 필수 영단어,ball,[명사] 공,We talked about ball during the lesson.,우리는 수업 중 공에 대해 이야기했다.,미학습
중급 필수 영단어,team,[명사] 팀,We talked about team during the lesson.,우리는 수업 중 팀에 대해 이야기했다.,미학습
중급 필수 영단어,player,[명사] 선수,We talked about player during the lesson.,우리는 수업 중 선수에 대해 이야기했다.,미학습
중급 필수 영단어,market,[명사] 시장,We talked about market during the lesson.,우리는 수업 중 시장에 대해 이야기했다.,미학습
중급 필수 영단어,shop,[명사] 가게,We talked about shop during the lesson.,우리는 수업 중 가게에 대해 이야기했다.,미학습
중급 필수 영단어,store,[명사] 상점,We talked about store during the lesson.,우리는 수업 중 상점에 대해 이야기했다.,미학습
중급 필수 영단어,money,[명사] 돈,We talked about money during the lesson.,우리는 수업 중 돈에 대해 이야기했다.,미학습
중급 필수 영단어,price,[명사] 가격,We talked about price during the lesson.,우리는 수업 중 가격에 대해 이야기했다.,암기 완료
중급 필수 영단어,cost,[명사] 비용,We talked about cost during the lesson.,우리는 수업 중 비용에 대해 이야기했다.,미학습
중급 필수 영단어,gift,[명사] 선물,We talked about gift during the lesson.,우리는 수업 중 선물에 대해 이야기했다.,미학습
중급 필수 영단어,bag,[명사] 가방,We talked about bag during the lesson.,우리는 수업 중 가방에 대해 이야기했다.,미학습
중급 필수 영단어,box,[명사] 상자,We talked about box during the lesson.,우리는 수업 중 상자에 대해 이야기했다.,미학습
중급 필수 영단어,key,[명사] 열쇠,We talked about key during the lesson.,우리는 수업 중 열쇠에 대해 이야기했다.,미학습
중급 필수 영단어,phone,[명사] 전화,We talked about phone during the lesson.,우리는 수업 중 전화에 대해 이야기했다.,미학습
중급 필수 영단어,computer,[명사] 컴퓨터,We talked about computer during the lesson.,우리는 수업 중 컴퓨터에 대해 이야기했다.,미학습
중급 필수 영단어,screen,[명사] 화면,We talked about screen during the lesson.,우리는 수업 중 화면에 대해 이야기했다.,미학습
중급 필수 영단어,camera,[명사] 카메라,We talked about camera during the lesson.,우리는 수업 중 카메라에 대해 이야기했다.,미학습
중급 필수 영단어,radio,[명사] 라디오,We talked about radio during the lesson.,우리는 수업 중 라디오에 대해 이야기했다.,미학습
중급 필수 영단어,clock,[명사] 시계,We talked about clock during the lesson.,우리는 수업 중 시계에 대해 이야기했다.,미학습
중급 필수 영단어,watch,[명사] 손목시계,We talked about watch during the lesson.,우리는 수업 중 손목시계에 대해 이야기했다.,미학습
중급 필수 영단어,car,[명사] 자동차,We talked about car during the lesson.,우리는 수업 중 자동차에 대해 이야기했다.,미학습
중급 필수 영단어,bus,[명사] 버스,We talked about bus during the lesson.,우리는 수업 중 버스에 대해 이야기했다.,미학습
중급 필수 영단어,train,[명사] 기차,We talked about train during the lesson.,우리는 수업 중 기차에 대해 이야기했다.,미학습
중급 필수 영단어,plane,[명사] 비행기,We talked about plane during the lesson.,우리는 수업 중 비행기에 대해 이야기했다.,미학습
중급 필수 영단어,ship,[명사] 배,We talked about ship during the lesson.,우리는 수업 중 배에 대해 이야기했다.,미학습
중급 필수 영단어,bike,[명사] 자전거,We talked about bike during the lesson.,우리는 수업 중 자전거에 대해 이야기했다.,미학습
중급 필수 영단어,station,[명사] 역,We talked about station during the lesson.,우리는 수업 중 역에 대해 이야기했다.,미학습
중급 필수 영단어,airport,[명사] 공항,We talked about airport during the lesson.,우리는 수업 중 공항에 대해 이야기했다.,미학습
중급 필수 영단어,hotel,[명사] 호텔,We talked about hotel during the lesson.,우리는 수업 중 호텔에 대해 이야기했다.,미학습
중급 필수 영단어,ticket,[명사] 표,We talked about ticket during the lesson.,우리는 수업 중 표에 대해 이야기했다.,미학습
중급 필수 영단어,passport,[명사] 여권,We talked about passport during the lesson.,우리는 수업 중 여권에 대해 이야기했다.,미학습
중급 필수 영단어,map,[명사] 지도,We talked about map during the lesson.,우리는 수업 중 지도에 대해 이야기했다.,미학습
중급 필수 영단어,trip,[명사] 여행,We talked about trip during the lesson.,우리는 수업 중 여행에 대해 이야기했다.,미학습
중급 필수 영단어,travel,[명사] 여행,We talked about travel during the lesson.,우리는 수업 중 여행에 대해 이야기했다.,미학습
중급 필수 영단어,vacation,[명사] 휴가,We talked about vacation during the lesson.,우리는 수업 중 휴가에 대해 이야기했다.,미학습
중급 필수 영단어,morning,[명사] 아침,We talked about morning during the lesson.,우리는 수업 중 아침에 대해 이야기했다.,미학습
중급 필수 영단어,afternoon,[명사] 오후,We talked about afternoon during the lesson.,우리는 수업 중 오후에 대해 이야기했다.,미학습
중급 필수 영단어,evening,[명사] 저녁,We talked about evening during the lesson.,우리는 수업 중 저녁에 대해 이야기했다.,미학습
중급 필수 영단어,night,[명사] 밤,We talked about night during the lesson.,우리는 수업 중 밤에 대해 이야기했다.,미학습
중급 필수 영단어,day,[명사] 날,We talked about day during the lesson.,우리는 수업 중 날에 대해 이야기했다.,미학습
중급 필수 영단어,week,[명사] 주,We talked about week during the lesson.,우리는 수업 중 주에 대해 이야기했다.,미학습
중급 필수 영단어,month,[명사] 달,We talked about month during the lesson.,우리는 수업 중 달에 대해 이야기했다.,미학습
